supplier_gstin,trade_name,invoice_no,invoice_date,taxable_value,cgst,sgst,igst,invoice_value,itc_available,period,doc_kind,original_invoice_no
27AAACA8842R1Z1,AMBIKA COTTON MILLS,ACM/2025/1041,2025-12-01,18000,1620.0,1620.0,0.0,21240.0,Yes,2025-12,B2B,
27AABCJ3310Q1ZG,JALAN SYNTHETICS,JSY/2025/1042,2025-12-08,22735,2046.15,2046.15,0.0,26827.3,Yes,2025-12,B2B,
24AADCK7725H1ZJ,KRISHNA DYES AND CHEMICALS,KDC/2025/1043,2025-12-15,27470,0.0,0.0,3296.4,30766.4,Yes,2025-12,B2B,
27AAECM9932B1ZH,MEERA PACKAGING,MPK/2025/1044,2025-12-22,32205,2898.45,2898.45,0.0,38001.9,Yes,2025-12,B2B,
27AAFCN1180D1ZR,NAKODA TRANSPORT,NKT/2025/1045,2025-12-02,36940,923.5,923.5,0.0,38787.0,Yes,2025-12,B2B,
33AACCO4457E1ZO,OMKAR THREADS,OMT/2025/1046,2025-12-09,41675,0.0,0.0,7501.5,49176.5,Yes,2025-12,B2B,
29AAHCP6614J1Z1,PRAKASH MACHINERY SPARES,PMS/2025/1047,2025-12-16,46410,0.0,0.0,8353.8,54763.8,Yes,2025-12,B2B,
07AAKCR2093L1ZX,RIDDHI ENTERPRISES,RDE/2025/1048,2025-12-23,51145,0.0,0.0,6137.4,57282.4,Yes,2025-12,B2B,
27AAJCS5548M1ZN,SURYA POWER SOLUTIONS,SPS/2025/1049,2025-12-03,55880,5029.2,5029.2,0.0,65938.4,Yes,2025-12,B2B,
24AAECV7031N1Z3,VARDHMAN YARN TRADERS,VYT/2025/1050,2025-12-10,60615,0.0,0.0,10910.7,71525.7,Yes,2025-12,B2B,
27AAACA8842R1Z1,AMBIKA COTTON MILLS,ACM/2025/1051,2025-12-17,65350,5881.5,5881.5,0.0,77113.0,Yes,2025-12,B2B,
27AABCJ3310Q1ZG,JALAN SYNTHETICS,JSY/2025/1052,2025-12-24,70085,6307.65,6307.65,0.0,82700.3,Yes,2025-12,B2B,
