invoice_no,invoice_date,vendor_name,vendor_gstin,taxable_value,cgst,sgst,igst,total
ACM/2025/1041,2025-12-01,Ambika Cotton Mills,27AAACA8842R1Z1,18000,1620.0,1620.0,0.0,21240.0
JSY/2025/1042,2025-12-08,Jalan Synthetics,27AABCJ3310Q1ZG,22735,2046.15,2046.15,0.0,26827.3
KDC/2025/1043,2025-12-15,Krishna Dyes & Chemicals,24AADCK7725H1ZJ,27470,0.0,0.0,3296.4,30766.4
MPK/2025/1044,2025-12-22,Meera Packaging,27AAECM9932B1ZH,32205,2898.45,2898.45,0.0,38001.9
NKT/2025/1045,2025-12-02,Nakoda Transport,27AAFCN1180D1ZR,36940,923.5,923.5,0.0,38787.0
OMT/2025/1046,2025-12-09,Omkar Threads,33AACCO4457E1ZO,41675,0.0,0.0,7501.5,49176.5
PMS/2025/1047,2025-12-16,Prakash Machinery Spares,29AAHCP6614J1Z1,46410,0.0,0.0,8353.8,54763.8
RDE/2025/1048,2025-12-23,Riddhi Enterprises,07AAKCR2093L1ZX,51145,0.0,0.0,6137.4,57282.4
SPS/2025/1049,2025-12-03,Surya Power Solutions,27AAJCS5548M1ZN,55880,5029.2,5029.2,0.0,65938.4
VYT/2025/1050,2025-12-10,Vardhman Yarn Traders,24AAECV7031N1Z3,60615,0.0,0.0,10910.7,71525.7
ACM/2025/1051,2025-12-17,Ambika Cotton Mills,27AAACA8842R1Z1,65350,5881.5,5881.5,0.0,77113.0
JSY/2025/1052,2025-12-24,Jalan Synthetics,27AABCJ3310Q1ZG,70085,6307.65,6307.65,0.0,82700.3
KDC/2025/1053,2025-12-04,Krishna Dyes & Chemicals,24AADCK7725H1ZJ,74820,0.0,0.0,8978.4,83798.4
MPK/2025/1054,2025-12-11,Meera Packaging,27AAECM9932B1ZH,79555,7159.95,7159.95,0.0,93874.9
NKT/2025/1055,2025-12-18,Nakoda Transport,27AAFCN1180D1ZR,84290,2107.25,2107.25,0.0,88504.5
OMT/2025/1056,2025-12-25,Omkar Threads,33AACCO4457E1ZO,89025,0.0,0.0,16024.5,105049.5
PMS/2025/1057,2025-12-05,Prakash Machinery Spares,29AAHCP6614J1Z1,93760,0.0,0.0,16876.8,110636.8
RDE/2025/1058,2025-12-12,Riddhi Enterprises,07AAKCR2093L1ZX,98495,0.0,0.0,11819.4,110314.4
SPS/2025/1059,2025-12-19,Surya Power Solutions,27AAJCS5548M1ZN,103230,9290.7,9290.7,0.0,121811.4
VYT/2025/1060,2025-12-26,Vardhman Yarn Traders,24AAECV7031N1Z3,107965,0.0,0.0,19433.7,127398.7
ACM/2025/1061,2025-12-06,Ambika Cotton Mills,27AAACA8842R1Z1,22700,2043.0,2043.0,0.0,26786.0
JSY/2025/1062,2025-12-13,Jalan Synthetics,27AABCJ3310Q1ZG,27435,2469.15,2469.15,0.0,32373.3
KDC/2025/1063,2025-12-20,Krishna Dyes & Chemicals,24AADCK7725H1ZJ,32170,0.0,0.0,3860.4,36030.4
MPK/2025/1064,2025-12-27,Meera Packaging,27AAECM9932B1ZH,36905,3321.45,3321.45,0.0,43547.9
NKT/2025/1065,2025-12-07,Nakoda Transport,27AAFCN1180D1ZR,41640,1041.0,1041.0,0.0,43722.0
OMT/2025/1066,2025-12-14,Omkar Threads,33AACCO4457E1ZO,46375,0.0,0.0,8347.5,54722.5
PMS/2025/1067,2025-12-21,Prakash Machinery Spares,29AAHCP6614J1Z1,51110,0.0,0.0,9199.8,60309.8
RDE/2025/1068,2025-12-01,Riddhi Enterprises,07AAKCR2093L1ZX,55845,0.0,0.0,6701.4,62546.4
SPS/2025/1069,2025-12-08,Surya Power Solutions,27AAJCS5548M1ZN,60580,5452.2,5452.2,0.0,71484.4
VYT/2025/1070,2025-12-15,Vardhman Yarn Traders,24AAECV7031N1Z3,65315,0.0,0.0,11756.7,77071.7
ACM/2025/1041,2025-12-01,Ambika Cotton Mills,27AAACA8842R1Z1,18000,1620.0,1620.0,0.0,21240.0
ACM/2025/1122,2025-12-18,Ambika Cotton Mills,27AAACA8842R1Z1,64000,5760.0,5760.0,0.0,75520.0
KDC/2025/0871,2025-12-20,Krishna Dyes & Chemicals,24AADCK7725H1ZJ,38500,0.0,0.0,6930.0,45430.0
OMT/2025/0455,2025-12-22,Omkar Threads,33AACCO4457E1ZO,27200,0.0,0.0,3264.0,30464.0
RDE/2025/0630,2025-12-23,Riddhi Enterprises,07AAKCR2093L1ZX,91000,0.0,0.0,16380.0,107380.0
JSY/2025/0512,2025-12-09,Jalan Synthetics,27AABCJ3310Q1ZG,84000,7560.0,7560.0,0.0,99120.0
SPS/2025/0233,2025-12-12,Surya Power Solutions,27AAJCS5548M1ZN,51300,4617.0,4617.0,0.0,60534.0
MPK/2025/0740,2025-12-15,Meera Packaging,27AAECM9932B1ZH,43600,3924.0,3924.0,0.0,51448.0
VYT/2025/0388,2025-12-16,Vardhman Yarn Traders,24AAECV7031N2Z2,56000,0.0,0.0,10080.0,66080.0
PMS/2025/0199,2025-12-05,Prakash Machinery Spares,29AAHCP6614J1Z1,47500,0.0,0.0,8550.0,56050.0
